gateway_id,mac_addr,reader_ip,location_id,reader_status,up_status,down_status,assigned,serial,created_at,updated_at,deleted_at
83,AC233FC09C57,NULL,31,NULL,"2021-04-16 03:15:47","0000-00-00 00:00:00",1,L2-CA-23,"2021-04-15 09:31:58","2021-04-16 03:15:47",NULL
84,AC233FC09C58,NULL,32,NULL,"2021-04-16 03:16:14","0000-00-00 00:00:00",1,L2-CA-24,"2021-04-15 09:31:58","2021-04-16 03:16:14",NULL
85,AC233FC09C59,NULL,33,NULL,"2021-04-16 03:16:40","0000-00-00 00:00:00",1,L2-CA-25,"2021-04-15 09:31:58","2021-04-16 03:16:40",NULL
86,AC233FC09C5A,NULL,34,NULL,"2021-04-16 03:16:57","0000-00-00 00:00:00",1,L2-CA-26,"2021-04-15 09:31:58","2021-04-16 03:16:57",NULL
87,AC233FC09C5B,NULL,35,NULL,"2021-04-16 03:17:11","0000-00-00 00:00:00",1,L2-RT-13,"2021-04-15 09:31:58","2021-04-16 03:17:11",NULL
88,AC233FC09C5C,NULL,36,NULL,"2021-04-16 03:17:51","0000-00-00 00:00:00",1,L2-RM-101,"2021-04-15 09:31:58","2021-04-16 03:17:51",NULL
89,AC233FC09C5D,NULL,36,NULL,"2021-04-16 03:18:11","0000-00-00 00:00:00",1,L2-RM-102,"2021-04-15 09:31:58","2021-04-16 03:18:11",NULL
90,AC233FC09C5E,NULL,37,NULL,"2021-04-16 03:18:23","0000-00-00 00:00:00",1,L2-RT-14,"2021-04-15 09:31:58","2021-04-16 03:18:23",NULL
91,AC233FC09C5F,NULL,38,NULL,"2021-04-16 03:18:49","0000-00-00 00:00:00",1,L2-RM-103,"2021-04-15 09:31:58","2021-04-16 03:18:49",NULL
92,AC233FC09C60,NULL,38,NULL,"2021-04-16 03:19:02","0000-00-00 00:00:00",1,L2-RM-104,"2021-04-15 09:31:58","2021-04-16 03:19:02",NULL
93,AC233FC09C61,NULL,39,NULL,"2021-04-16 03:19:17","0000-00-00 00:00:00",1,L2-RT-15,"2021-04-15 09:31:58","2021-04-16 03:19:17",NULL
94,AC233FC09C62,NULL,40,NULL,"2021-04-16 03:20:27","0000-00-00 00:00:00",1,L2-CA-27,"2021-04-15 09:31:58","2021-04-16 03:20:27",NULL
95,AC233FC09C63,NULL,40,NULL,"2021-04-16 03:20:58","0000-00-00 00:00:00",1,L2-CA-28,"2021-04-15 09:31:58","2021-04-16 03:20:58",NULL
96,AC233FC09C64,NULL,40,NULL,"2021-04-16 03:21:22","0000-00-00 00:00:00",1,L2-CA-29,"2021-04-15 09:31:58","2021-04-16 03:21:22",NULL
97,AC233FC09C65,NULL,40,NULL,"2021-04-16 03:21:35","0000-00-00 00:00:00",1,L2-CA-30,"2021-04-15 09:31:58","2021-04-16 03:21:35",NULL
98,AC233FC09C66,NULL,41,NULL,"2021-04-16 03:22:29","0000-00-00 00:00:00",1,L2-CA-31,"2021-04-15 09:31:58","2021-04-16 03:22:29",NULL
99,AC233FC09C67,NULL,41,NULL,"2021-04-16 03:22:46","0000-00-00 00:00:00",1,L2-CA-32,"2021-04-15 09:31:58","2021-04-16 03:22:46",NULL
100,AC233FC09C68,NULL,41,NULL,"2021-04-16 03:23:07","0000-00-00 00:00:00",1,L2-CA-33,"2021-04-15 09:31:58","2021-04-16 03:23:07",NULL
101,AC233FC09C69,NULL,41,NULL,"2021-04-16 03:23:20","0000-00-00 00:00:00",1,L2-CA-34,"2021-04-15 09:31:58","2021-04-16 03:23:20",NULL
102,AC233FC09C6A,NULL,42,NULL,"2021-04-16 03:23:51","0000-00-00 00:00:00",1,L2-CR-01,"2021-04-15 09:31:58","2021-04-16 03:23:51",NULL
103,AC233FC09C6B,NULL,42,NULL,"2021-04-16 03:24:45","0000-00-00 00:00:00",1,L2-CR-02,"2021-04-15 09:31:58","2021-04-16 03:24:45",NULL
104,AC233FC09C6C,NULL,42,NULL,"2021-04-16 03:25:06","0000-00-00 00:00:00",1,L2-CR-03,"2021-04-15 09:31:58","2021-04-16 03:25:06",NULL
105,AC233FC09C6D,NULL,42,NULL,"2021-04-16 03:25:30","0000-00-00 00:00:00",1,L2-CR-04,"2021-04-15 09:31:58","2021-04-16 03:25:30",NULL
106,AC233FC09C6E,NULL,42,NULL,"2021-04-16 03:25:43","0000-00-00 00:00:00",1,L2-CR-05,"2021-04-15 09:31:58","2021-04-16 03:25:43",NULL
107,AC233FC09C6F,NULL,42,NULL,"2021-04-16 03:26:02","0000-00-00 00:00:00",1,L2-CR-06,"2021-04-15 09:31:58","2021-04-16 03:26:02",NULL
108,AC233FC09C70,NULL,42,NULL,"2021-04-16 03:26:25","0000-00-00 00:00:00",1,L2-CR-07,"2021-04-15 09:31:58","2021-04-16 03:26:25",NULL
109,AC233FC09C71,NULL,42,NULL,"2021-04-16 03:26:48","0000-00-00 00:00:00",1,L2-CR-08,"2021-04-15 09:31:58","2021-04-16 03:26:48",NULL
110,AC233FC09C72,NULL,42,NULL,"2021-04-16 03:27:18","0000-00-00 00:00:00",1,L2-CR-09,"2021-04-15 09:31:58","2021-04-16 03:27:18",NULL
111,AC233FC09C73,NULL,42,NULL,"2021-04-16 03:27:43","0000-00-00 00:00:00",1,L2-CR-10,"2021-04-15 09:31:58","2021-04-16 03:27:43",NULL
112,AC233FC09C74,NULL,42,NULL,"2021-04-16 03:28:03","0000-00-00 00:00:00",1,L2-CR-11,"2021-04-15 09:31:58","2021-04-16 03:28:03",NULL
113,AC233FC09C75,NULL,42,NULL,"2021-04-16 03:29:04","0000-00-00 00:00:00",1,L2-CR-12,"2021-04-15 09:31:58","2021-04-16 03:29:04",NULL
114,AC233FC09C76,NULL,42,NULL,"2021-04-16 03:29:24","0000-00-00 00:00:00",1,L2-CR-13,"2021-04-15 09:31:58","2021-04-16 03:29:24",NULL
115,AC233FC09C77,NULL,42,NULL,"2021-04-16 03:29:39","0000-00-00 00:00:00",1,L2-CR-14,"2021-04-15 09:31:58","2021-04-16 03:29:39",NULL
116,AC233FC09C78,NULL,42,NULL,"2021-04-16 03:30:02","0000-00-00 00:00:00",1,L2-CR-15,"2021-04-15 09:31:58","2021-04-16 03:30:02",NULL
117,AC233FC09C79,NULL,43,NULL,"2021-04-16 03:35:22","0000-00-00 00:00:00",1,L2-PT-01,"2021-04-15 09:31:58","2021-04-16 03:35:22",NULL
118,AC233FC09C7A,NULL,43,NULL,"2021-04-16 03:35:42","0000-00-00 00:00:00",1,L2-PT-02,"2021-04-15 09:31:58","2021-04-16 03:35:42",NULL
119,AC233FC09C7B,NULL,43,NULL,"2021-04-16 03:35:54","0000-00-00 00:00:00",1,L2-PT-03,"2021-04-15 09:31:58","2021-04-16 03:35:54",NULL
120,AC233FC09C7C,NULL,43,NULL,"2021-04-16 03:36:07","0000-00-00 00:00:00",1,L2-PT-04,"2021-04-15 09:31:58","2021-04-16 03:36:07",NULL
121,AC233FC09C7D,NULL,43,NULL,"2021-04-16 03:36:17","0000-00-00 00:00:00",1,L2-PT-05,"2021-04-15 09:31:58","2021-04-16 03:36:17",NULL
122,AC233FC09C7E,NULL,44,NULL,"2021-04-16 03:37:46","0000-00-00 00:00:00",1,L2-PT-06,"2021-04-15 09:31:58","2021-04-16 03:37:46",NULL
123,AC233FC09C7F,NULL,45,NULL,"2021-04-16 03:38:24","0000-00-00 00:00:00",1,L2-CA-35,"2021-04-15 09:31:58","2021-04-16 03:38:24",NULL
124,AC233FC09C80,NULL,45,NULL,"2021-04-16 03:38:47","0000-00-00 00:00:00",1,L2-CA-36,"2021-04-15 09:31:58","2021-04-16 03:38:47",NULL
125,AC233FC09C81,NULL,46,NULL,"2021-04-16 03:38:59","0000-00-00 00:00:00",1,L2-CA-37,"2021-04-15 09:31:58","2021-04-16 03:38:59",NULL
126,AC233FC09C82,NULL,47,NULL,"2021-04-16 05:35:56","0000-00-00 00:00:00",1,L3-RT-01,"2021-04-15 09:31:58","2021-04-16 05:35:56",NULL
127,AC233FC09C83,NULL,47,NULL,"2021-04-16 05:36:09","0000-00-00 00:00:00",1,L3-RT-02,"2021-04-15 09:31:58","2021-04-16 05:36:09",NULL
128,AC233FC09C84,NULL,48,NULL,"2021-04-16 05:36:39","0000-00-00 00:00:00",1,L3-RM-101,"2021-04-15 09:31:58","2021-04-16 05:36:39",NULL
129,AC233FC09C85,NULL,48,NULL,"2021-04-16 05:36:56","0000-00-00 00:00:00",1,L3-RM-102,"2021-04-15 09:31:58","2021-04-16 05:36:56",NULL
130,AC233FC09C86,NULL,48,NULL,"2021-04-16 05:37:12","0000-00-00 00:00:00",1,L3-RM-103,"2021-04-15 09:31:58","2021-04-16 05:37:12",NULL
131,AC233FC09C87,NULL,48,NULL,"2021-04-16 05:37:27","0000-00-00 00:00:00",1,L3-RM-104,"2021-04-15 09:31:58","2021-04-16 05:37:27",NULL
132,AC233FC09C88,NULL,49,NULL,"2021-04-16 06:07:10","0000-00-00 00:00:00",1,L3-RT-03,"2021-04-15 09:31:58","2021-04-16 06:07:10",NULL
133,AC233FC09C89,NULL,49,NULL,"2021-04-16 06:07:21","0000-00-00 00:00:00",1,L3-RT-04,"2021-04-15 09:31:58","2021-04-16 06:07:21",NULL
134,AC233FC09C8A,NULL,50,NULL,"2021-04-16 06:07:37","0000-00-00 00:00:00",1,L3-RM-201,"2021-04-15 09:31:58","2021-04-16 06:07:37",NULL
135,AC233FC09C8B,NULL,50,NULL,"2021-04-16 06:08:01","0000-00-00 00:00:00",1,L3-RM-202,"2021-04-15 09:31:58","2021-04-16 06:08:01",NULL
136,AC233FC09C8C,NULL,50,NULL,"2021-04-16 06:08:22","0000-00-00 00:00:00",1,L3-RM-203,"2021-04-15 09:31:58","2021-04-16 06:08:22",NULL
